año,ccz,est,se,cv,quintil
2024,CCZ13,"22,91049285","2,179071238","9,5",Q2
2024,CCZ14,"23,36183347","2,154041966","9,2",Q2
2024,CCZ15,"18,52894889","2,19030483","11,8",Q2
2024,CCZ16,"17,09510086","2,544124039","14,9",Q2
2024,CCZ17,"25,03911003","2,190848374","8,7",Q2
2024,CCZ18,"24,61726204","3,462829451","14,1",Q2
2024,CCZ01,"21,75100215","2,556282957","11,8",Q3
2024,CCZ02,"21,42789035","1,621640318","7,6",Q3
2024,CCZ03,"18,99799164","1,728299444","9,1",Q3
2024,CCZ04,"21,85170907","2,909874418","13,3",Q3
2024,CCZ05,"12,71640932","1,148824706",9,Q3
2024,CCZ06,"19,65974433","2,161769811",11,Q3
2024,CCZ07,"15,62066389","2,044497711","13,1",Q3
2024,CCZ08,"18,56737589","2,156386081","11,6",Q3
2024,CCZ09,"20,88163885","1,371838834","6,6",Q3
2024,CCZ10,"19,58937525","3,17993197","16,2",Q3
2024,CCZ11,"21,36423243","1,65898813","7,8",Q3
2024,CCZ12,"22,444626","2,152390724","9,6",Q3
2024,CCZ13,"23,36220042","1,882243088","8,1",Q3
2024,CCZ14,"25,07538936","2,762805151",11,Q3
2024,CCZ15,"22,88577818","3,229893382","14,1",Q3
2024,CCZ16,"17,28530259","2,55267104","14,8",Q3
2024,CCZ17,"23,45298105","2,690403307","11,5",Q3
2024,CCZ18,"17,24539605","2,480932011","14,4",Q3
2024,CCZ01,"23,72044385","2,482061795","10,5",Q4
2024,CCZ02,"22,7794994","1,593930698",7,Q4
2024,CCZ03,"23,44352168","1,979902286","8,4",Q4
2024,CCZ04,"25,64893344","2,588622832","10,1",Q4
2024,CCZ05,"20,93546413","1,382739359","6,6",Q4
2024,CCZ06,"22,73915316","2,417985321","10,6",Q4
2024,CCZ07,"23,29490874","2,591845552","11,1",Q4
2024,CCZ08,"24,71394799","2,69738885","10,9",Q4
2024,CCZ09,"17,40212443","1,304613585","7,5",Q4
2024,CCZ10,"10,18430682","2,73214444","26,8",Q4
2024,CCZ11,"17,49252961","1,644419154","9,4",Q4
2024,CCZ12,"16,79375454","1,633811354","9,7",Q4
2024,CCZ13,"20,71812872","1,899155385","9,2",Q4
2024,CCZ14,"17,64288502","1,71643797","9,7",Q4
2024,CCZ15,"21,53565808","2,568174161","11,9",Q4
2024,CCZ16,"22,68587896","2,534032248","11,2",Q4
2024,CCZ17,"16,1524422","2,617948218","16,2",Q4
2024,CCZ18,"14,22786776","2,967195502","20,9",Q4
2024,CCZ01,"21,80909777","3,492265822",16,Q5
2024,CCZ02,"28,91775924","2,01966158",7,Q5
2024,CCZ03,"22,85186995","1,940481309","8,5",Q5
2024,CCZ04,"24,28039065","3,401796336",14,Q5
2024,CCZ05,"50,76845553","2,235243086","4,4",Q5
2024,CCZ06,"14,80302238","2,627941338","17,8",Q5
2024,CCZ07,"42,18166293","3,664182386","8,7",Q5
2024,CCZ08,"33,77777778","4,298602223","12,7",Q5
2024,CCZ09,"7,613050076","1,079615422","14,2",Q5
2024,CCZ10,"4,30275105","1,483276106","34,5",Q5
2024,CCZ11,"5,795730593","1,142786851","19,7",Q5
2024,CCZ12,"11,15196078","2,733183007","24,5",Q5
2024,CCZ13,"11,45380787","1,69456558","14,8",Q5
2024,CCZ14,"9,217014936","2,021632136","21,9",Q5
2024,CCZ15,"20,01987907","3,887876678","19,4",Q5
2024,CCZ16,"32,20172911","4,811094924","14,9",Q5
2024,CCZ17,"4,163045368","1,382520099","33,2",Q5
2024,CCZ18,"7,344131351","1,921876486","26,2",Q5
