año,ccz,est,se,cv,rango
2024,CCZ09,"49,03186646","2,070376367","4,2",de 6 a 9 años
2024,CCZ10,"52,24962732","2,986568525","5,7",de 6 a 9 años
2024,CCZ11,"48,52419546","2,401208999","4,9",de 6 a 9 años
2024,CCZ12,"39,47893972","3,265147872","8,3",de 6 a 9 años
2024,CCZ13,"41,48516846","2,55105928","6,1",de 6 a 9 años
2024,CCZ14,"41,79586334","2,854060389","6,8",de 6 a 9 años
2024,CCZ15,"16,80609625","3,441544212","20,5",de 6 a 9 años
2024,CCZ16,"11,86167147","2,835177303","23,9",de 6 a 9 años
2024,CCZ17,"51,48618112","3,766794881","7,3",de 6 a 9 años
2024,CCZ18,"61,54870202","4,188663355","6,8",de 6 a 9 años
2024,CCZ01,"22,55272178","2,230352739","9,9",de 10 a 12 años
2024,CCZ02,"18,4386174","1,558222405","8,5",de 10 a 12 años
2024,CCZ03,"27,23497802","1,788633885","6,6",de 10 a 12 años
2024,CCZ04,"22,96324852","2,94268956","12,8",de 10 a 12 años
2024,CCZ05,"16,00439117","1,164655878","7,3",de 10 a 12 años
2024,CCZ06,"30,77983177","2,048290086","6,7",de 10 a 12 años
2024,CCZ07,"22,36631444","2,55804712","11,4",de 10 a 12 años
2024,CCZ08,"30,83687943","3,250317925","10,5",de 10 a 12 años
2024,CCZ09,"28,86646434","1,56186701","5,4",de 10 a 12 años
2024,CCZ10,"27,00907982","3,132465754","11,6",de 10 a 12 años
2024,CCZ11,"25,21013823","1,787000129","7,1",de 10 a 12 años
2024,CCZ12,"35,6436093","3,163625417","8,9",de 10 a 12 años
2024,CCZ13,"31,71447478","2,044272057","6,4",de 10 a 12 años
2024,CCZ14,"32,11409515","2,515773806","7,8",de 10 a 12 años
2024,CCZ15,"28,27797565","3,904685832","13,8",de 10 a 12 años
2024,CCZ16,"24,01152738","2,793492111","11,6",de 10 a 12 años
2024,CCZ17,"25,02172779","2,510540021",10,de 10 a 12 años
2024,CCZ18,"19,55846461","3,24769701","16,6",de 10 a 12 años
2024,CCZ01,"66,28710858","2,582773451","3,9",12 o más años
2024,CCZ02,"72,42669845","2,018591918","2,8",12 o más años
2024,CCZ03,"54,67350594","2,544219094","4,7",12 o más años
2024,CCZ04,"64,84836803","3,477958425","5,4",12 o más años
2024,CCZ05,"77,55821905","1,340596562","1,7",12 o más años
2024,CCZ06,"37,40911467","3,184825893","8,5",12 o más años
2024,CCZ07,"63,43793361","3,400030083","5,4",12 o más años
2024,CCZ08,"46,93144208","4,741180059","10,1",12 o más años
2024,CCZ09,"16,63277693","1,504044706",9,12 o más años
2024,CCZ10,"16,44531779","2,485575742","15,1",12 o más años
2024,CCZ11,"20,5645248","2,117243333","10,3",12 o más años
2024,CCZ12,"21,50508351","2,993930262","13,9",12 o más años
2024,CCZ13,"23,74485715","2,175711394","9,2",12 o más años
2024,CCZ14,"21,7937347","2,538287479","11,6",12 o más años
2024,CCZ15,"52,77892819","5,351982343","10,1",12 o más años
2024,CCZ16,"63,22190202","4,110778244","6,5",12 o más años
2024,CCZ17,"16,80427603","2,677894487","15,9",12 o más años
2024,CCZ18,"11,10494786","1,860134332","16,8",12 o más años
